COB_DATE,POSITION_ID,CUSIP,EMPLOYEE_ID,FUND_ID,QUANTITY,NOTIONAL_USD,SCHEDULE,MATURITY_DATE
20180102,20180102C491534729T5A009,C491534729,T5,A009,7000,,,
20180102,20180102BONDT1A006,,T1,A006,,50000,SEMI-ANNUAL,
20180102,20180102C755456336T3A000,C755456336,T3,A000,95000,,,
20180102,20180102C207240619T5A001,C207240619,T5,A001,9000,,,
20180102,20180102C704813496T5A004,C704813496,T5,A004,62000,,,
20180102,20180102C309653244T1A015,C309653244,T1,A015,98000,,,
20180102,20180102C956810865T1A009,C956810865,T1,A009,82000,,,
20180102,20180102C317648987T3A014,C317648987,T3,A014,24000,,,
20180102,20180102C385264889T3A012,C385264889,T3,A012,14000,,,
20180102,20180102C956282871T3A001,C956282871,T3,A001,54000,,,
20180102,20180102BONDT2A011,,T2,A011,,30000,ANNUAL,
20180102,20180102C541596602T3A012,C541596602,T3,A012,82000,,,
20180102,20180102C417359878T1A009,C417359878,T1,A009,67000,,,
20180102,20180102C793685348T3A014,C793685348,T3,A014,93000,,,
20180102,20180102C501048147T3A011,C501048147,T3,A011,39000,,,
20180102,20180102C500289558T3A008,C500289558,T3,A008,82000,,,
20180102,20180102C309653244T2A011,C309653244,T2,A011,50000,,,
20180102,20180102BONDT1A009,,T1,A009,,40000,SEMI-ANNUAL,20180102
20180102,20180102C386947041T1A009,C386947041,T1,A009,25000,,,
20180102,20180102BONDT2A014,,T2,A014,,860000,,
20180102,20180102C534956101T5A001,C534956101,T5,A001,81000,,,
20180102,20180102C772969772T2A007,C772969772,T2,A007,15000,,,
20180102,20180102C906008511T1A009,C906008511,T1,A009,47000,,,
20180102,20180102C900255546T4A011,C900255546,T4,A011,27000,,,
20180102,20180102BONDT5A006,,T5,A006,,90000,ANNUAL,
20180102,20180102BONDT3A001,,T3,A001,,390000,,
20180102,20180102C285291663T4A005,C285291663,T4,A005,11000,,,
20180102,20180102C351197651T3A001,C351197651,T3,A001,8000,,,
20180102,20180102C793685348T2A005,C793685348,T2,A005,98000,,,
20180102,20180102C458497274T2A005,C458497274,T2,A005,97000,,,
20180102,20180102C774787649T5A008,C774787649,T5,A008,23000,,,
20180102,20180102C348312558T2A005,C348312558,T2,A005,57000,,,
20180102,20180102C262865085T1A000,C262865085,T1,A000,84000,,,
20180102,20180102C534956101T2A007,C534956101,T2,A007,71000,,,
20180102,20180102C175210911T3A006,C175210911,T3,A006,31000,,,
20180102,20180102C348312558T1A009,C348312558,T1,A009,46000,,,
20180102,20180102C966634544T5A010,C966634544,T5,A010,98000,,,
20180102,20180102C402902400T1A012,C402902400,T1,A012,9000,,,
20180102,20180102C317648987T3A013,C317648987,T3,A013,73000,,,
20180102,20180102C500289558T5A015,C500289558,T5,A015,55000,,,
20180102,20180102C615991809T1A013,C615991809,T1,A013,10000,,,
20180102,20180102C763405435T5A013,C763405435,T5,A013,51000,,,
20180102,20180102C823054248T1A013,C823054248,T1,A013,19000,,,
20180102,20180102C925055856T5A002,C925055856,T5,A002,4000,,,
20180102,20180102C298891492T5A001,C298891492,T5,A001,,,,
20180102,20180102BONDT5A011,,T5,A011,,30000,SEMI-ANNUAL,
20180102,20180102C755456336T2A006,C755456336,T2,A006,40000,,,
20180102,20180102BONDT5A004,,T5,A004,,20000,ANNUAL,
20180102,20180102C667933999T2A007,C667933999,T2,A007,,,,
20180102,20180102C182368642T3A013,C182368642,T3,A013,97000,,,
20180102,20180102BONDT4A007,,T4,A007,,10000,ANNUAL,
20180102,20180102C653124476T5A015,C653124476,T5,A015,76000,,,
20180102,20180102C534956101T3A014,C534956101,T3,A014,9000,,,
20180102,20180102C645474804T4A013,C645474804,T4,A013,32000,,,
20180102,20180102BONDT1A008,,T1,A008,,260000,,
20180102,20180102C285291663T5A004,C285291663,T5,A004,23000,,,
20180102,20180102C270807154T3A010,C270807154,T3,A010,17000,,,
20180102,20180102BONDT5A009,,T5,A009,,940000,,
20180102,20180102C925055856T2A010,C925055856,T2,A010,17000,,,
20180102,20180102C491534729T4A011,C491534729,T4,A011,,,,
20180102,20180102C715608976T5A006,C715608976,T5,A006,47000,,,
